cluster_lat,cluster_lon,accidentes,alcaldia,colonia,cerca_uni,campus,google_maps
19.363,-99.057,669,IZTAPALAPA,UNIDAD VICENTE GUERRERO,False,,"https://www.google.com/maps?q=19.363,-99.057"
19.479,-99.098,584,GUSTAVO A. MADERO,D M NACIONAL,False,,"https://www.google.com/maps?q=19.479,-99.098"
19.304,-99.087,583,IZTAPALAPA,NAN,False,,"https://www.google.com/maps?q=19.304,-99.087"
19.318,-99.076,521,IZTAPALAPA,LA ESPERANZA,False,,"https://www.google.com/maps?q=19.318,-99.076"
19.372,-99.08,497,IZTAPALAPA,GUADALUPE DEL MORAL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.372,-99.08"
19.357,-99.087,495,IZTAPALAPA,BARRIO SAN MIGUEL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.357,-99.087"
19.352,-99.015,450,IZTAPALAPA,PARAJE ZACATEPEC,False,,"https://www.google.com/maps?q=19.352,-99.015"
19.351,-99.075,446,IZTAPALAPA,BARRIO SAN MIGUEL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.351,-99.075"
19.398,-99.058,420,IZTAPALAPA,AGRICOLA PANTITLAN,False,,"https://www.google.com/maps?q=19.398,-99.058"
19.358,-99.122,418,IZTAPALAPA,CACAMA,False,,"https://www.google.com/maps?q=19.358,-99.122"
19.376,-99.059,412,IZTAPALAPA,CHINAMPAC DE JUAREZ,False,,"https://www.google.com/maps?q=19.376,-99.059"
19.347,-99.181,402,COYOACÁN,ROMERO DE TERREROS,False,,"https://www.google.com/maps?q=19.347,-99.181"
19.345,-99.061,396,IZTAPALAPA,CONSTITUCION DE 1917,False,,"https://www.google.com/maps?q=19.345,-99.061"
19.311,-99.124,386,COYOACÁN,LOS GIRASOLES,False,,"https://www.google.com/maps?q=19.311,-99.124"
19.372,-99.103,380,IZTAPALAPA,PUEBLO ACULCO,False,,"https://www.google.com/maps?q=19.372,-99.103"
19.453,-99.131,377,CUAUHTÉMOC,EX HIPODROMO DE PERALVILLO,False,,"https://www.google.com/maps?q=19.453,-99.131"
19.457,-99.149,372,CUAUHTÉMOC,ATLAMPA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.457,-99.149"
19.468,-99.176,372,AZCAPOTZALCO,JARDIN AZPEITIA,False,,"https://www.google.com/maps?q=19.468,-99.176"
19.293,-99.126,363,TLALPAN,NARCISO MENDOZA,False,,"https://www.google.com/maps?q=19.293,-99.126"
19.304,-99.125,359,COYOACÁN,LOS GIRASOLES,False,,"https://www.google.com/maps?q=19.304,-99.125"
19.423,-99.126,354,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.423,-99.126"
19.446,-99.153,349,CUAUHTÉMOC,SANTA MARIA LA RIBERA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.446,-99.153"
19.503,-99.157,346,GUSTAVO A. MADERO,NUEVA INDUSTRIAL VALLEJO,False,,"https://www.google.com/maps?q=19.503,-99.157"
19.42,-99.096,341,VENUSTIANO CARRANZA,INDUSTRIAL PUERTO AEREO,False,,"https://www.google.com/maps?q=19.42,-99.096"
19.301,-99.114,340,TLALPAN,HACIENDAS DE COYOACAN,True,UAM Xochimilco,"https://www.google.com/maps?q=19.301,-99.114"
19.339,-99.113,327,IZTAPALAPA,BARRIO SAN ANTONIO CULHUACAN,False,,"https://www.google.com/maps?q=19.339,-99.113"
19.32,-99.084,325,IZTAPALAPA,EL VERGEL,False,,"https://www.google.com/maps?q=19.32,-99.084"
19.49,-99.195,317,AZCAPOTZALCO,TEZOZOMOC,False,,"https://www.google.com/maps?q=19.49,-99.195"
19.396,-99.156,315,BENITO JUÁREZ,NARVARTE PONIENTE,False,,"https://www.google.com/maps?q=19.396,-99.156"
19.341,-99.137,313,COYOACÁN,CAMPESTRE CHURUBUSCO,False,,"https://www.google.com/maps?q=19.341,-99.137"
19.303,-99.186,308,COYOACÁN,INSURGENTES CUICUILCO,False,,"https://www.google.com/maps?q=19.303,-99.186"
19.371,-99.165,305,BENITO JUÁREZ,SANTA CRUZ ATOYAC,False,,"https://www.google.com/maps?q=19.371,-99.165"
19.342,-99.144,304,COYOACÁN,ATLANTIDA,False,,"https://www.google.com/maps?q=19.342,-99.144"
19.274,-99.12,302,XOCHIMILCO,PASEOS DEL SUR,False,,"https://www.google.com/maps?q=19.274,-99.12"
19.446,-99.087,299,VENUSTIANO CARRANZA,PENSADOR MEXICANO,False,,"https://www.google.com/maps?q=19.446,-99.087"
19.266,-99.115,294,XOCHIMILCO,POTRERO SAN BERNARDINO,False,,"https://www.google.com/maps?q=19.266,-99.115"
19.44,-99.156,292,CUAUHTÉMOC,SANTA MARIA LA RIBERA,False,,"https://www.google.com/maps?q=19.44,-99.156"
19.345,-99.021,289,IZTAPALAPA,XALPA,False,,"https://www.google.com/maps?q=19.345,-99.021"
19.403,-99.098,287,IZTACALCO,GRANJAS MEXICO,False,,"https://www.google.com/maps?q=19.403,-99.098"
19.361,-99.04,285,IZTAPALAPA,UNIDAD SANTA CRUZ MEYEHUALCO,False,,"https://www.google.com/maps?q=19.361,-99.04"
