celda_lat,celda_lon,accidentes,alcaldia,colonia,cerca_uni,campus,google_maps
19.398,-99.171,25,BENITO JUÁREZ,DEL VALLE NORTE,False,,"https://www.google.com/maps?q=19.398,-99.171"
19.431,-99.16,22,CUAUHTÉMOC,CUAUHTEMOC,False,,"https://www.google.com/maps?q=19.431,-99.16"
19.4,-99.17,22,CUAUHTÉMOC,ESCANDON II SECCION,False,,"https://www.google.com/maps?q=19.4,-99.17"
19.374,-99.179,21,BENITO JUÁREZ,TLACOQUEMECATL,False,,"https://www.google.com/maps?q=19.374,-99.179"
19.356,-99.255,20,ÁLVARO OBREGÓN,PUEBLO SANTA LUCIA,False,,"https://www.google.com/maps?q=19.356,-99.255"
19.358,-99.153,20,BENITO JUÁREZ,DEL CARMEN,False,,"https://www.google.com/maps?q=19.358,-99.153"
19.423,-99.176,19,MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC I SECCION,False,,"https://www.google.com/maps?q=19.423,-99.176"
19.417,-99.165,18,CUAUHTÉMOC,ROMA NORTE,False,,"https://www.google.com/maps?q=19.417,-99.165"
19.311,-99.111,18,COYOACÁN,CAFETALES,True,UAM Xochimilco,"https://www.google.com/maps?q=19.311,-99.111"
19.412,-99.195,18,MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC II SECCION,False,,"https://www.google.com/maps?q=19.412,-99.195"
19.402,-99.17,16,CUAUHTÉMOC,ROMA SUR,False,,"https://www.google.com/maps?q=19.402,-99.17"
19.436,-99.15,16,CUAUHTÉMOC,TABACALERA,False,,"https://www.google.com/maps?q=19.436,-99.15"
19.334,-99.151,15,COYOACÁN,PUEBLO LA CANDELARIA,False,,"https://www.google.com/maps?q=19.334,-99.151"
19.435,-99.15,14,CUAUHTÉMOC,JUAREZ,False,,"https://www.google.com/maps?q=19.435,-99.15"
19.3,-99.25,14,LA MAGDALENA CONTRERAS,PUEBLO LA MAGDALENA,False,,"https://www.google.com/maps?q=19.3,-99.25"
19.437,-99.147,14,CUAUHTÉMOC,TABACALERA,False,,"https://www.google.com/maps?q=19.437,-99.147"
19.457,-99.149,14,CUAUHTÉMOC,ATLAMPA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.457,-99.149"
19.453,-99.131,13,CUAUHTÉMOC,EX HIPODROMO DE PERALVILLO,False,,"https://www.google.com/maps?q=19.453,-99.131"
19.444,-99.139,13,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.444,-99.139"
19.44,-99.156,12,CUAUHTÉMOC,SANTA MARIA LA RIBERA,False,,"https://www.google.com/maps?q=19.44,-99.156"
19.468,-99.176,12,AZCAPOTZALCO,OBRERO POPULAR,False,,"https://www.google.com/maps?q=19.468,-99.176"
19.28,-99.276,11,LA MAGDALENA CONTRERAS,,False,,"https://www.google.com/maps?q=19.28,-99.276"
19.434,-99.141,11,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.434,-99.141"
19.357,-99.087,11,IZTAPALAPA,BARRIO SAN PABLO,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.357,-99.087"
19.411,-99.194,11,MIGUEL HIDALGO,AMPLIACION DANIEL GARZA,False,,"https://www.google.com/maps?q=19.411,-99.194"
19.368,-99.181,11,BENITO JUÁREZ,ACTIPAN,False,,"https://www.google.com/maps?q=19.368,-99.181"
19.246,-99.09,11,XOCHIMILCO,PUEBLO SANTA MARIA NATIVITAS,False,,"https://www.google.com/maps?q=19.246,-99.09"
19.426,-99.195,11,MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC I SECCION,False,,"https://www.google.com/maps?q=19.426,-99.195"
19.356,-99.09,10,IZTAPALAPA,EL SANTUARIO,False,,"https://www.google.com/maps?q=19.356,-99.09"
19.406,-99.172,10,CUAUHTÉMOC,HIPODROMO,False,,"https://www.google.com/maps?q=19.406,-99.172"
19.363,-99.057,10,IZTAPALAPA,UNIDAD VICENTE GUERRERO,False,,"https://www.google.com/maps?q=19.363,-99.057"
19.389,-99.174,10,BENITO JUÁREZ,DEL VALLE CENTRO,False,,"https://www.google.com/maps?q=19.389,-99.174"
19.308,-99.18,10,COYOACÁN,PEDREGAL DE CARRASCO,False,,"https://www.google.com/maps?q=19.308,-99.18"
19.393,-99.173,10,BENITO JUÁREZ,NAPOLES,False,,"https://www.google.com/maps?q=19.393,-99.173"
19.446,-99.153,10,CUAUHTÉMOC,SANTA MARIA LA RIBERA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.446,-99.153"
19.381,-99.226,10,ÁLVARO OBREGÓN,JALALPA TEPITO,False,,"https://www.google.com/maps?q=19.381,-99.226"
19.335,-99.161,10,COYOACÁN,BARRIO DEL NIÑO JESUS,False,,"https://www.google.com/maps?q=19.335,-99.161"
19.408,-99.138,10,CUAUHTÉMOC,ALGARIN,False,,"https://www.google.com/maps?q=19.408,-99.138"
19.372,-99.08,10,IZTAPALAPA,GUADALUPE DEL MORAL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.372,-99.08"
19.415,-99.171,10,CUAUHTÉMOC,CONDESA,False,,"https://www.google.com/maps?q=19.415,-99.171"
