celda_lat,celda_lon,accidentes,alcaldia,colonia,cerca_uni,campus,google_maps
19.363,-99.057,215,IZTAPALAPA,UNIDAD VICENTE GUERRERO,False,,"https://www.google.com/maps?q=19.363,-99.057"
19.446,-99.087,192,VENUSTIANO CARRANZA,PENSADOR MEXICANO,False,,"https://www.google.com/maps?q=19.446,-99.087"
19.304,-99.087,189,IZTAPALAPA,,False,,"https://www.google.com/maps?q=19.304,-99.087"
19.318,-99.076,174,IZTAPALAPA,LA ESPERANZA,False,,"https://www.google.com/maps?q=19.318,-99.076"
19.372,-99.103,170,IZTAPALAPA,PUEBLO ACULCO,False,,"https://www.google.com/maps?q=19.372,-99.103"
19.457,-99.149,166,CUAUHTÉMOC,ATLAMPA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.457,-99.149"
19.345,-99.061,163,IZTAPALAPA,CONSTITUCION DE 1917,False,,"https://www.google.com/maps?q=19.345,-99.061"
19.385,-99.191,154,BENITO JUÁREZ,SANTA MARIA NONOALCO,False,,"https://www.google.com/maps?q=19.385,-99.191"
19.479,-99.098,152,GUSTAVO A. MADERO,D M NACIONAL,False,,"https://www.google.com/maps?q=19.479,-99.098"
19.303,-99.186,151,COYOACÁN,INSURGENTES CUICUILCO,False,,"https://www.google.com/maps?q=19.303,-99.186"
19.342,-99.144,142,COYOACÁN,ATLANTIDA,False,,"https://www.google.com/maps?q=19.342,-99.144"
19.398,-99.058,135,IZTAPALAPA,AGRICOLA PANTITLAN,False,,"https://www.google.com/maps?q=19.398,-99.058"
19.376,-99.059,124,IZTAPALAPA,CHINAMPAC DE JUAREZ,False,,"https://www.google.com/maps?q=19.376,-99.059"
19.453,-99.109,123,GUSTAVO A. MADERO,LA JOYA,False,,"https://www.google.com/maps?q=19.453,-99.109"
19.29,-99.151,123,TLALPAN,PUEBLO SAN LORENZO HUIPULCO,True,Tlalpan centro (zona uni/salud),"https://www.google.com/maps?q=19.29,-99.151"
19.471,-99.137,123,GUSTAVO A. MADERO,VALLEJO,False,,"https://www.google.com/maps?q=19.471,-99.137"
19.372,-99.08,122,IZTAPALAPA,GUADALUPE DEL MORAL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.372,-99.08"
19.261,-99.174,119,TLALPAN,PUEBLO SAN PEDRO MARTIR,False,,"https://www.google.com/maps?q=19.261,-99.174"
19.367,-99.04,111,IZTAPALAPA,CHINAMPAC DE JUAREZ,False,,"https://www.google.com/maps?q=19.367,-99.04"
19.368,-99.181,109,BENITO JUÁREZ,ACTIPAN,False,,"https://www.google.com/maps?q=19.368,-99.181"
19.274,-99.12,109,XOCHIMILCO,PASEOS DEL SUR,False,,"https://www.google.com/maps?q=19.274,-99.12"
19.239,-99.16,107,TLALPAN,PUEBLO SAN MIGUEL XICALCO,False,,"https://www.google.com/maps?q=19.239,-99.16"
19.357,-99.087,105,IZTAPALAPA,BARRIO SAN MIGUEL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.357,-99.087"
19.458,-99.117,102,GUSTAVO A. MADERO,7 DE NOVIEMBRE,False,,"https://www.google.com/maps?q=19.458,-99.117"
19.321,-99.114,102,COYOACÁN,CULHUACAN CTM SECCION VI,False,,"https://www.google.com/maps?q=19.321,-99.114"
19.166,-99.161,102,TLALPAN,,False,,"https://www.google.com/maps?q=19.166,-99.161"
19.361,-99.04,101,IZTAPALAPA,UNIDAD SANTA CRUZ MEYEHUALCO,False,,"https://www.google.com/maps?q=19.361,-99.04"
19.357,-99.144,99,COYOACÁN,CHURUBUSCO COUNTRY CLUB,False,,"https://www.google.com/maps?q=19.357,-99.144"
19.42,-99.096,99,VENUSTIANO CARRANZA,INDUSTRIAL PUERTO AEREO,False,,"https://www.google.com/maps?q=19.42,-99.096"
19.468,-99.176,98,AZCAPOTZALCO,OBRERO POPULAR,False,,"https://www.google.com/maps?q=19.468,-99.176"
19.403,-99.098,97,IZTACALCO,GRANJAS MEXICO,False,,"https://www.google.com/maps?q=19.403,-99.098"
19.427,-99.092,97,VENUSTIANO CARRANZA,FEDERAL,False,,"https://www.google.com/maps?q=19.427,-99.092"
19.46,-99.122,96,GUSTAVO A. MADERO,VALLE GOMEZ,False,,"https://www.google.com/maps?q=19.46,-99.122"
19.352,-99.015,93,IZTAPALAPA,PARAJE ZACATEPEC,False,,"https://www.google.com/maps?q=19.352,-99.015"
19.382,-99.2,93,ÁLVARO OBREGÓN,SACRAMENTO,False,,"https://www.google.com/maps?q=19.382,-99.2"
19.436,-99.17,93,MIGUEL HIDALGO,TLAXPANA,False,,"https://www.google.com/maps?q=19.436,-99.17"
19.301,-99.114,93,TLALPAN,HACIENDAS DE COYOACAN,True,UAM Xochimilco,"https://www.google.com/maps?q=19.301,-99.114"
19.405,-99.071,92,IZTACALCO,AGRICOLA ORIENTAL,False,,"https://www.google.com/maps?q=19.405,-99.071"
19.422,-99.056,92,,,False,,"https://www.google.com/maps?q=19.422,-99.056"
19.406,-99.113,91,IZTACALCO,GRANJAS MEXICO,False,,"https://www.google.com/maps?q=19.406,-99.113"
