celda_lat,celda_lon,accidentes,alcaldia,colonia,cerca_uni,campus,google_maps
19.363,-99.057,444,IZTAPALAPA,UNIDAD VICENTE GUERRERO,False,,"https://www.google.com/maps?q=19.363,-99.057"
19.479,-99.098,424,GUSTAVO A. MADERO,D M NACIONAL,False,,"https://www.google.com/maps?q=19.479,-99.098"
19.304,-99.087,389,IZTAPALAPA,,False,,"https://www.google.com/maps?q=19.304,-99.087"
19.357,-99.087,379,IZTAPALAPA,BARRIO SAN MIGUEL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.357,-99.087"
19.351,-99.075,370,IZTAPALAPA,BARRIO SAN MIGUEL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.351,-99.075"
19.372,-99.08,365,IZTAPALAPA,GUADALUPE DEL MORAL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.372,-99.08"
19.352,-99.015,354,IZTAPALAPA,PARAJE ZACATEPEC,False,,"https://www.google.com/maps?q=19.352,-99.015"
19.318,-99.076,347,IZTAPALAPA,LA ESPERANZA,False,,"https://www.google.com/maps?q=19.318,-99.076"
19.347,-99.181,326,COYOACÁN,ROMERO DE TERREROS,False,,"https://www.google.com/maps?q=19.347,-99.181"
19.358,-99.122,324,IZTAPALAPA,CACAMA,False,,"https://www.google.com/maps?q=19.358,-99.122"
19.304,-99.125,308,TLALPAN,LOS GIRASOLES,False,,"https://www.google.com/maps?q=19.304,-99.125"
19.423,-99.126,298,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.423,-99.126"
19.503,-99.157,294,GUSTAVO A. MADERO,NUEVA INDUSTRIAL VALLEJO,False,,"https://www.google.com/maps?q=19.503,-99.157"
19.311,-99.124,292,COYOACÁN,LOS GIRASOLES,False,,"https://www.google.com/maps?q=19.311,-99.124"
19.446,-99.153,285,CUAUHTÉMOC,BUENAVISTA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.446,-99.153"
19.398,-99.058,283,IZTAPALAPA,AGRICOLA PANTITLAN,False,,"https://www.google.com/maps?q=19.398,-99.058"
19.293,-99.126,282,TLALPAN,NARCISO MENDOZA,False,,"https://www.google.com/maps?q=19.293,-99.126"
19.376,-99.059,281,IZTAPALAPA,CHINAMPAC DE JUAREZ,False,,"https://www.google.com/maps?q=19.376,-99.059"
19.453,-99.131,279,CUAUHTÉMOC,EX HIPODROMO DE PERALVILLO,False,,"https://www.google.com/maps?q=19.453,-99.131"
19.396,-99.156,277,BENITO JUÁREZ,NARVARTE PONIENTE,False,,"https://www.google.com/maps?q=19.396,-99.156"
19.468,-99.176,262,AZCAPOTZALCO,JARDIN AZPEITIA,False,,"https://www.google.com/maps?q=19.468,-99.176"
19.341,-99.137,260,COYOACÁN,CAMPESTRE CHURUBUSCO,False,,"https://www.google.com/maps?q=19.341,-99.137"
19.371,-99.165,253,BENITO JUÁREZ,SANTA CRUZ ATOYAC,False,,"https://www.google.com/maps?q=19.371,-99.165"
19.345,-99.021,244,IZTAPALAPA,XALPA,False,,"https://www.google.com/maps?q=19.345,-99.021"
19.32,-99.084,242,IZTAPALAPA,EL VERGEL,False,,"https://www.google.com/maps?q=19.32,-99.084"
19.301,-99.114,242,TLALPAN,HACIENDAS DE COYOACAN,True,UAM Xochimilco,"https://www.google.com/maps?q=19.301,-99.114"
19.42,-99.096,241,VENUSTIANO CARRANZA,INDUSTRIAL PUERTO AEREO,False,,"https://www.google.com/maps?q=19.42,-99.096"
19.49,-99.195,238,AZCAPOTZALCO,TEZOZOMOC,False,,"https://www.google.com/maps?q=19.49,-99.195"
19.339,-99.113,237,IZTAPALAPA,BARRIO SAN ANTONIO CULHUACAN,False,,"https://www.google.com/maps?q=19.339,-99.113"
19.266,-99.115,229,XOCHIMILCO,POTRERO SAN BERNARDINO,False,,"https://www.google.com/maps?q=19.266,-99.115"
19.345,-99.061,227,IZTAPALAPA,CONSTITUCION DE 1917,False,,"https://www.google.com/maps?q=19.345,-99.061"
19.492,-99.121,224,GUSTAVO A. MADERO,LINDAVISTA NORTE,False,,"https://www.google.com/maps?q=19.492,-99.121"
19.456,-99.145,219,CUAUHTÉMOC,SAN SIMON TOLNAHUAC,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.456,-99.145"
19.319,-99.076,213,IZTAPALAPA,CERRO DE LA ESTRELLA,False,,"https://www.google.com/maps?q=19.319,-99.076"
19.426,-99.126,209,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.426,-99.126"
19.44,-99.156,209,CUAUHTÉMOC,SANTA MARIA LA RIBERA,False,,"https://www.google.com/maps?q=19.44,-99.156"
19.372,-99.103,207,IZTAPALAPA,CENTRAL DE ABASTO,False,,"https://www.google.com/maps?q=19.372,-99.103"
19.338,-99.109,206,IZTAPALAPA,PUEBLO CULHUACAN,False,,"https://www.google.com/maps?q=19.338,-99.109"
19.492,-99.12,204,GUSTAVO A. MADERO,RESIDENCIAL ZACATENCO,False,,"https://www.google.com/maps?q=19.492,-99.12"
19.409,-99.122,202,VENUSTIANO CARRANZA,MAGDALENA MIXIUHCA,False,,"https://www.google.com/maps?q=19.409,-99.122"
