celda_lat,celda_lon,accidentes,alcaldia,colonia,cerca_uni,campus,google_maps
19.395,-99.169,11,BENITO JUÁREZ,DEL VALLE NORTE,False,,"https://www.google.com/maps?q=19.395,-99.169"
19.376,-99.178,3,BENITO JUÁREZ,TLACOQUEMECATL,False,,"https://www.google.com/maps?q=19.376,-99.178"
19.426,-99.193,3,MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC I SECCION,False,,"https://www.google.com/maps?q=19.426,-99.193"
19.458,-99.191,3,MIGUEL HIDALGO,TACUBA,False,,"https://www.google.com/maps?q=19.458,-99.191"
19.426,-99.195,2,MIGUEL HIDALGO,POLANCO IV SECCION,False,,"https://www.google.com/maps?q=19.426,-99.195"
19.446,-99.187,2,MIGUEL HIDALGO,LAGO SUR,False,,"https://www.google.com/maps?q=19.446,-99.187"
19.433,-99.148,2,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.433,-99.148"
19.402,-99.171,2,CUAUHTÉMOC,ESCANDON II SECCION,False,,"https://www.google.com/maps?q=19.402,-99.171"
19.349,-99.151,2,COYOACÁN,BARRIO SAN LUCAS,False,,"https://www.google.com/maps?q=19.349,-99.151"
19.406,-99.155,2,CUAUHTÉMOC,ROMA SUR,False,,"https://www.google.com/maps?q=19.406,-99.155"
19.433,-99.182,2,MIGUEL HIDALGO,ANZURES,False,,"https://www.google.com/maps?q=19.433,-99.182"
19.399,-99.151,2,BENITO JUÁREZ,NARVARTE ORIENTE,False,,"https://www.google.com/maps?q=19.399,-99.151"
19.33,-99.025,2,IZTAPALAPA,PALMITAS,False,,"https://www.google.com/maps?q=19.33,-99.025"
19.355,-99.083,2,IZTAPALAPA,BARRIO SAN MIGUEL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.355,-99.083"
19.439,-99.146,2,CUAUHTÉMOC,GUERRERO,False,,"https://www.google.com/maps?q=19.439,-99.146"
19.414,-99.156,2,CUAUHTÉMOC,ROMA NORTE,False,,"https://www.google.com/maps?q=19.414,-99.156"
19.433,-99.141,2,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.433,-99.141"
19.298,-99.114,2,TLALPAN,RINCONADA COAPA 2A SECCION,True,UAM Xochimilco,"https://www.google.com/maps?q=19.298,-99.114"
19.426,-99.169,2,CUAUHTÉMOC,CUAUHTEMOC,False,,"https://www.google.com/maps?q=19.426,-99.169"
19.312,-99.147,2,COYOACÁN,PEDREGAL DE SANTA URSULA,False,,"https://www.google.com/maps?q=19.312,-99.147"
19.38,-99.123,2,IZTACALCO,APATLACO,False,,"https://www.google.com/maps?q=19.38,-99.123"
19.429,-99.205,2,MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC III SECCION,False,,"https://www.google.com/maps?q=19.429,-99.205"
19.429,-99.18,2,MIGUEL HIDALGO,ANZURES,False,,"https://www.google.com/maps?q=19.429,-99.18"
19.384,-99.095,2,IZTACALCO,CARLOS ZAPATA VELA,False,,"https://www.google.com/maps?q=19.384,-99.095"
19.368,-99.166,2,BENITO JUÁREZ,SANTA CRUZ ATOYAC,False,,"https://www.google.com/maps?q=19.368,-99.166"
19.433,-99.134,1,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.433,-99.134"
19.435,-99.202,1,MIGUEL HIDALGO,POLANCO II SECCION,False,,"https://www.google.com/maps?q=19.435,-99.202"
19.434,-99.128,1,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.434,-99.128"
19.434,-99.162,1,CUAUHTÉMOC,CUAUHTEMOC,False,,"https://www.google.com/maps?q=19.434,-99.162"
19.433,-99.133,1,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.433,-99.133"
19.434,-99.141,1,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.434,-99.141"
19.434,-99.142,1,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.434,-99.142"
19.434,-99.193,1,MIGUEL HIDALGO,POLANCO IV SECCION,False,,"https://www.google.com/maps?q=19.434,-99.193"
19.434,-99.151,1,CUAUHTÉMOC,JUAREZ,False,,"https://www.google.com/maps?q=19.434,-99.151"
19.434,-99.189,1,MIGUEL HIDALGO,POLANCO V SECCION,False,,"https://www.google.com/maps?q=19.434,-99.189"
19.434,-99.188,1,MIGUEL HIDALGO,POLANCO V SECCION,False,,"https://www.google.com/maps?q=19.434,-99.188"
19.434,-99.166,1,CUAUHTÉMOC,CUAUHTEMOC,False,,"https://www.google.com/maps?q=19.434,-99.166"
19.432,-99.161,1,CUAUHTÉMOC,CUAUHTEMOC,False,,"https://www.google.com/maps?q=19.432,-99.161"
19.433,-99.135,1,CUAUHTÉMOC,CENTRO,False,,"https://www.google.com/maps?q=19.433,-99.135"
19.43,-99.115,1,VENUSTIANO CARRANZA,7 DE JULIO,False,,"https://www.google.com/maps?q=19.43,-99.115"
