celda_lat,celda_lon,accidentes,alcaldia,colonia,cerca_uni,campus,google_maps
19.438,-99.134,4,CUAUHTEMOC,CENTRO,False,,"https://www.google.com/maps?q=19.438,-99.134"
19.362,-99.154,4,BENITO JUAREZ,PORTALES SUR,False,,"https://www.google.com/maps?q=19.362,-99.154"
19.426,-99.192,3,MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC 1A SECC,False,,"https://www.google.com/maps?q=19.426,-99.192"
19.461,-99.126,3,GUSTAVO A MADERO,SIETE DE NOVIEMBRE,False,,"https://www.google.com/maps?q=19.461,-99.126"
19.453,-99.131,3,CUAUHTEMOC,EX HIPODROMO DE PERALVILLO,False,,"https://www.google.com/maps?q=19.453,-99.131"
19.368,-99.181,3,BENITO JUAREZ,ACTIPAN,False,,"https://www.google.com/maps?q=19.368,-99.181"
19.395,-99.073,2,IZTACALCO,AGRICOLA ORIENTAL,False,,"https://www.google.com/maps?q=19.395,-99.073"
19.443,-99.2,2,MIGUEL HIDALGO,GRANADA,False,,"https://www.google.com/maps?q=19.443,-99.2"
19.333,-99.152,2,COYOACAN,CANDELARIA,False,,"https://www.google.com/maps?q=19.333,-99.152"
19.482,-99.106,2,GUSTAVO A MADERO,CONSTITUCION DE LA REP,False,,"https://www.google.com/maps?q=19.482,-99.106"
19.443,-99.163,2,CUAUHTEMOC,STA MA LA RIBERA,False,,"https://www.google.com/maps?q=19.443,-99.163"
19.431,-99.16,2,CUAUHTEMOC,JUAREZ,False,,"https://www.google.com/maps?q=19.431,-99.16"
19.444,-99.185,2,MIGUEL HIDALGO,GRANADA,False,,"https://www.google.com/maps?q=19.444,-99.185"
19.424,-99.165,2,CUAUHTEMOC,JUAREZ,False,,"https://www.google.com/maps?q=19.424,-99.165"
19.427,-99.198,2,MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC 1A SECC,False,,"https://www.google.com/maps?q=19.427,-99.198"
19.426,-99.12,2,VENUSTIANO CARRANZA,DEL PARQUE,False,,"https://www.google.com/maps?q=19.426,-99.12"
19.445,-99.147,2,CUAUHTEMOC,BUENAVISTA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.445,-99.147"
19.445,-99.139,2,CUAUHTEMOC,GUERRERO,False,,"https://www.google.com/maps?q=19.445,-99.139"
19.394,-99.182,2,BENITO JUAREZ,SAN PEDRO DE LOS PINOS,False,,"https://www.google.com/maps?q=19.394,-99.182"
19.434,-99.193,2,MIGUEL HIDALGO,POLANCO 4A SECC,False,,"https://www.google.com/maps?q=19.434,-99.193"
19.474,-99.181,2,AZCAPOTZALCO,SINDICATO MEXICANO DE ELECTRICISTAS,False,,"https://www.google.com/maps?q=19.474,-99.181"
19.448,-99.135,2,CUAUHTEMOC,MORELOS,False,,"https://www.google.com/maps?q=19.448,-99.135"
19.341,-99.137,2,COYOACAN,CAMPESTRE CHURUBUSCO,False,,"https://www.google.com/maps?q=19.341,-99.137"
19.338,-99.123,2,COYOACAN,TAXQUEÑA,False,,"https://www.google.com/maps?q=19.338,-99.123"
19.391,-99.113,2,IZTACALCO,JUVENTINO ROSAS,False,,"https://www.google.com/maps?q=19.391,-99.113"
19.417,-99.102,2,VENUSTIANO CARRANZA,JARDIN BALBUENA,False,,"https://www.google.com/maps?q=19.417,-99.102"
19.422,-99.17,2,CUAUHTEMOC,JUAREZ,False,,"https://www.google.com/maps?q=19.422,-99.17"
19.49,-99.195,2,AZCAPOTZALCO,TEZOZOMOC,False,,"https://www.google.com/maps?q=19.49,-99.195"
19.264,-99.118,2,XOCHIMILCO,HUICHAPAN,False,,"https://www.google.com/maps?q=19.264,-99.118"
19.41,-99.197,2,MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC 2A SECC,False,,"https://www.google.com/maps?q=19.41,-99.197"
19.367,-99.171,2,BENITO JUAREZ,DEL VALLE SUR,False,,"https://www.google.com/maps?q=19.367,-99.171"
19.427,-99.112,2,VENUSTIANO CARRANZA,EL PARQUE,False,,"https://www.google.com/maps?q=19.427,-99.112"
19.406,-99.178,2,MIGUEL HIDALGO,ESCANDON 1A SECC,False,,"https://www.google.com/maps?q=19.406,-99.178"
19.44,-99.156,2,CUAUHTEMOC,STA MA LA RIBERA,False,,"https://www.google.com/maps?q=19.44,-99.156"
19.44,-99.135,2,CUAUHTEMOC,CENTRO,False,,"https://www.google.com/maps?q=19.44,-99.135"
19.406,-99.163,2,CUAUHTEMOC,ROMA SUR,False,,"https://www.google.com/maps?q=19.406,-99.163"
19.383,-99.135,2,BENITO JUAREZ,NATIVITAS,False,,"https://www.google.com/maps?q=19.383,-99.135"
19.365,-99.112,2,IZTAPALAPA,ESCUADRON 201,False,,"https://www.google.com/maps?q=19.365,-99.112"
19.504,-99.183,2,AZCAPOTZALCO,SAN PABLO XALPA,True,UAM Azcapotzalco,"https://www.google.com/maps?q=19.504,-99.183"
19.437,-99.154,2,CUAUHTEMOC,TABACALERA,False,,"https://www.google.com/maps?q=19.437,-99.154"
