celda_lat,celda_lon,accidentes,alcaldia,colonia,cerca_uni,campus,google_maps
19.431,-99.125,9,CUAUHTEMOC,CENTRO,False,,"https://www.google.com/maps?q=19.431,-99.125"
19.456,-99.145,8,CUAUHTEMOC,SAN SIMON TOLNAHUAC,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.456,-99.145"
19.304,-99.125,8,COYOACAN,GIRASOLES 2,False,,"https://www.google.com/maps?q=19.304,-99.125"
19.426,-99.133,7,CUAUHTEMOC,CENTRO,False,,"https://www.google.com/maps?q=19.426,-99.133"
19.437,-99.147,7,CUAUHTEMOC,CENTRO,False,,"https://www.google.com/maps?q=19.437,-99.147"
19.345,-99.061,7,IZTAPALAPA,CONSTITUCION DE 1917,False,,"https://www.google.com/maps?q=19.345,-99.061"
19.352,-99.015,7,IZTAPALAPA,2A AMPL SANTIAGO ACAHUALTEPEC,False,,"https://www.google.com/maps?q=19.352,-99.015"
19.301,-99.114,7,COYOACAN,HDA DE COYOACAN,True,UAM Xochimilco,"https://www.google.com/maps?q=19.301,-99.114"
19.457,-99.149,6,CUAUHTEMOC,ATLAMPA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.457,-99.149"
19.49,-99.195,6,AZCAPOTZALCO,TEZOZOMOC,False,,"https://www.google.com/maps?q=19.49,-99.195"
19.274,-99.12,6,XOCHIMILCO,PASEOS DEL SUR,False,,"https://www.google.com/maps?q=19.274,-99.12"
19.407,-99.155,6,CUAUHTEMOC,BUENOS AIRES,False,,"https://www.google.com/maps?q=19.407,-99.155"
19.445,-99.147,6,CUAUHTEMOC,BUENAVISTA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.445,-99.147"
19.503,-99.157,6,AZCAPOTZALCO,INDUSTRIAL VALLEJO,False,,"https://www.google.com/maps?q=19.503,-99.157"
19.444,-99.14,6,CUAUHTEMOC,GUERRERO,False,,"https://www.google.com/maps?q=19.444,-99.14"
19.423,-99.126,6,CUAUHTEMOC,CENTRO,False,,"https://www.google.com/maps?q=19.423,-99.126"
19.343,-99.041,5,IZTAPALAPA,STA CRUZ MEYEHUALCO,False,,"https://www.google.com/maps?q=19.343,-99.041"
19.375,-99.055,5,IZTAPALAPA,CHINAM PAC DE JUAREZ,False,,"https://www.google.com/maps?q=19.375,-99.055"
19.338,-99.123,5,COYOACAN,SAN FCO CULHUACAN,False,,"https://www.google.com/maps?q=19.338,-99.123"
19.426,-99.131,5,CUAUHTEMOC,CENTRO,False,,"https://www.google.com/maps?q=19.426,-99.131"
19.468,-99.176,5,AZCAPOTZALCO,NAVAL,False,,"https://www.google.com/maps?q=19.468,-99.176"
19.322,-99.105,5,COYOACAN,COAPA,False,,"https://www.google.com/maps?q=19.322,-99.105"
19.446,-99.153,5,CUAUHTEMOC,BUENAVISTA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.446,-99.153"
19.452,-99.125,5,CUAUHTEMOC,MORELOS,False,,"https://www.google.com/maps?q=19.452,-99.125"
19.266,-99.115,5,XOCHIMILCO,SAN MARCOS,False,,"https://www.google.com/maps?q=19.266,-99.115"
19.479,-99.098,5,GUSTAVO A MADERO,DM NACIONAL,False,,"https://www.google.com/maps?q=19.479,-99.098"
19.426,-99.154,5,CUAUHTEMOC,ROMA NTE,False,,"https://www.google.com/maps?q=19.426,-99.154"
19.443,-99.164,5,CUAUHTEMOC,STA MA LA RIBERA,False,,"https://www.google.com/maps?q=19.443,-99.164"
19.438,-99.194,5,MIGUEL HIDALGO,POLANCO 4A SECC,False,,"https://www.google.com/maps?q=19.438,-99.194"
19.425,-99.143,4,CUAUHTEMOC,DOCTORES,False,,"https://www.google.com/maps?q=19.425,-99.143"
19.376,-99.059,4,IZTAPALAPA,CABEZA DE JUAREZ,False,,"https://www.google.com/maps?q=19.376,-99.059"
19.383,-99.061,4,IZTAPALAPA,LEYES DE REFORMA 3A SECC,False,,"https://www.google.com/maps?q=19.383,-99.061"
19.34,-99.192,4,ALVARO OBREGON,TIZAPAN SAN ANGEL,True,CU - UNAM,"https://www.google.com/maps?q=19.34,-99.192"
19.502,-99.205,4,AZCAPOTZALCO,TIERRA NUEVA,False,,"https://www.google.com/maps?q=19.502,-99.205"
19.424,-99.14,4,CUAUHTEMOC,CENTRO,False,,"https://www.google.com/maps?q=19.424,-99.14"
19.341,-99.138,4,COYOACAN,CAMPESTRE CHURUBUSCO,False,,"https://www.google.com/maps?q=19.341,-99.138"
19.447,-99.157,4,CUAUHTEMOC,STA MA LA RIBERA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.447,-99.157"
19.347,-99.181,4,COYOACAN,AGRICOLA,False,,"https://www.google.com/maps?q=19.347,-99.181"
19.445,-99.145,4,CUAUHTEMOC,GUERRERO,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.445,-99.145"
19.318,-99.075,4,IZTAPALAPA,AÑO DE JUAREZ,False,,"https://www.google.com/maps?q=19.318,-99.075"
