celda_lat,celda_lon,accidentes,alcaldia,colonia,cerca_uni,campus,google_maps
19.457,-99.149,44,CUAUHTEMOC,ATLAMPA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.457,-99.149"
19.468,-99.176,43,AZCAPOTZALCO,NAVAL,False,,"https://www.google.com/maps?q=19.468,-99.176"
19.453,-99.131,39,CUAUHTEMOC,EX HIPODROMO DE PERALVILLO,False,,"https://www.google.com/maps?q=19.453,-99.131"
19.456,-99.145,35,CUAUHTEMOC,SAN SIMON TOLNAHUAC,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.456,-99.145"
19.408,-99.184,34,MIGUEL HIDALGO,HIPODROMO CONDESA,False,,"https://www.google.com/maps?q=19.408,-99.184"
19.407,-99.155,31,CUAUHTEMOC,ROMA SUR,False,,"https://www.google.com/maps?q=19.407,-99.155"
19.425,-99.143,31,CUAUHTEMOC,DOCTORES,False,,"https://www.google.com/maps?q=19.425,-99.143"
19.274,-99.12,31,XOCHIMILCO,SAN LORENZO LA CEBADA,False,,"https://www.google.com/maps?q=19.274,-99.12"
19.303,-99.186,30,COYOACAN,INSURGENTES CUICUILCO,False,,"https://www.google.com/maps?q=19.303,-99.186"
19.331,-99.21,29,ALVARO OBREGON,JARDINES DEL PEDREGAL,False,,"https://www.google.com/maps?q=19.331,-99.21"
19.403,-99.098,29,IZTACALCO,GRANJAS MEXICO,False,,"https://www.google.com/maps?q=19.403,-99.098"
19.426,-99.192,29,MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC 1A SECC,False,,"https://www.google.com/maps?q=19.426,-99.192"
19.338,-99.123,28,COYOACAN,SAN FCO CULHUACAN,False,,"https://www.google.com/maps?q=19.338,-99.123"
19.372,-99.08,28,IZTAPALAPA,GUADALUPE DEL MORAL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.372,-99.08"
19.479,-99.098,28,GUSTAVO A MADERO,DM NACIONAL,False,,"https://www.google.com/maps?q=19.479,-99.098"
19.431,-99.16,27,CUAUHTEMOC,JUAREZ,False,,"https://www.google.com/maps?q=19.431,-99.16"
19.4,-99.185,27,MIGUEL HIDALGO,TACUBAYA,False,,"https://www.google.com/maps?q=19.4,-99.185"
19.33,-99.137,26,COYOACAN,AVANTE,False,,"https://www.google.com/maps?q=19.33,-99.137"
19.304,-99.125,26,COYOACAN,GIRASOLES 2,False,,"https://www.google.com/maps?q=19.304,-99.125"
19.396,-99.156,26,BENITO JUAREZ,NARVARTE PTE,False,,"https://www.google.com/maps?q=19.396,-99.156"
19.446,-99.153,26,CUAUHTEMOC,BUENAVISTA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.446,-99.153"
19.426,-99.154,26,CUAUHTEMOC,ROMA NTE,False,,"https://www.google.com/maps?q=19.426,-99.154"
19.42,-99.096,25,VENUSTIANO CARRANZA,INDUSTRIAL PUERTO AEREO,False,,"https://www.google.com/maps?q=19.42,-99.096"
19.311,-99.124,25,COYOACAN,JARDINES DE COYOACAN,False,,"https://www.google.com/maps?q=19.311,-99.124"
19.391,-99.189,25,BENITO JUAREZ,SAN PEDRO DE LOS PINOS,False,,"https://www.google.com/maps?q=19.391,-99.189"
19.455,-99.138,25,CUAUHTEMOC,EX HIPODROMO DE PERALVILLO,False,,"https://www.google.com/maps?q=19.455,-99.138"
19.452,-99.125,24,VENUSTIANO CARRANZA,MORELOS,False,,"https://www.google.com/maps?q=19.452,-99.125"
19.376,-99.059,24,IZTAPALAPA,CHINAM PAC DE JUAREZ,False,,"https://www.google.com/maps?q=19.376,-99.059"
19.266,-99.115,24,XOCHIMILCO,TIERRA NUEVA,False,,"https://www.google.com/maps?q=19.266,-99.115"
19.505,-99.151,24,GUSTAVO A MADERO,NUEVA INDUSTRIAL VALLEJO,False,,"https://www.google.com/maps?q=19.505,-99.151"
19.503,-99.157,24,GUSTAVO A MADERO,INDUSTRIAL VALLEJO,False,,"https://www.google.com/maps?q=19.503,-99.157"
19.352,-99.015,23,IZTAPALAPA,2A AMPL SANTIAGO ACAHUALTEPEC,False,,"https://www.google.com/maps?q=19.352,-99.015"
19.409,-99.098,23,IZTACALCO,GRANJAS MEXICO,False,,"https://www.google.com/maps?q=19.409,-99.098"
19.364,-99.191,23,ALVARO OBREGON,MERCED GOMEZ,False,,"https://www.google.com/maps?q=19.364,-99.191"
19.351,-99.075,23,IZTAPALAPA,8A AMPL SAN MIGUEL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.351,-99.075"
19.363,-99.057,23,IZTAPALAPA,U H VICENTE GUERRERO,False,,"https://www.google.com/maps?q=19.363,-99.057"
19.423,-99.166,23,CUAUHTEMOC,JUAREZ,False,,"https://www.google.com/maps?q=19.423,-99.166"
19.305,-99.087,22,IZTAPALAPA,TRIANGULO DE LAS AGUJAS 1 Y 2,False,,"https://www.google.com/maps?q=19.305,-99.087"
19.409,-99.122,22,VENUSTIANO CARRANZA,MAGDALENA MIXIHUCA,False,,"https://www.google.com/maps?q=19.409,-99.122"
19.444,-99.139,22,CUAUHTEMOC,GUERRERO,False,,"https://www.google.com/maps?q=19.444,-99.139"
