celda_lat,celda_lon,accidentes,alcaldia,colonia,cerca_uni,campus,google_maps
19.457,-99.149,38,CUAUHTEMOC,ATLAMPA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.457,-99.149"
19.468,-99.176,37,AZCAPOTZALCO,OBRERO POPULAR,False,,"https://www.google.com/maps?q=19.468,-99.176"
19.453,-99.131,32,CUAUHTEMOC,EX HIPODROMO DE PERALVILLO,False,,"https://www.google.com/maps?q=19.453,-99.131"
19.408,-99.184,31,MIGUEL HIDALGO,HIPODROMO CONDESA,False,,"https://www.google.com/maps?q=19.408,-99.184"
19.303,-99.186,29,COYOACAN,INSURGENTES CUICUILCO,False,,"https://www.google.com/maps?q=19.303,-99.186"
19.331,-99.21,28,ALVARO OBREGON,JARDINES DEL PEDREGAL,False,,"https://www.google.com/maps?q=19.331,-99.21"
19.403,-99.098,28,IZTACALCO,GRANJAS MEXICO,False,,"https://www.google.com/maps?q=19.403,-99.098"
19.425,-99.143,27,CUAUHTEMOC,DOCTORES,False,,"https://www.google.com/maps?q=19.425,-99.143"
19.456,-99.145,26,CUAUHTEMOC,SAN SIMON TOLNAHUAC,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.456,-99.145"
19.372,-99.08,26,IZTAPALAPA,GUADALUPE DEL MORAL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.372,-99.08"
19.4,-99.185,25,MIGUEL HIDALGO,TACUBAYA,False,,"https://www.google.com/maps?q=19.4,-99.185"
19.431,-99.16,25,CUAUHTEMOC,JUAREZ,False,,"https://www.google.com/maps?q=19.431,-99.16"
19.274,-99.12,25,XOCHIMILCO,SAN LORENZO LA CEBADA,False,,"https://www.google.com/maps?q=19.274,-99.12"
19.407,-99.155,24,CUAUHTEMOC,ROMA SUR,False,,"https://www.google.com/maps?q=19.407,-99.155"
19.391,-99.189,24,BENITO JUAREZ,SAN PEDRO DE LOS PINOS,False,,"https://www.google.com/maps?q=19.391,-99.189"
19.426,-99.192,24,MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC 1A SECC,False,,"https://www.google.com/maps?q=19.426,-99.192"
19.455,-99.138,23,CUAUHTEMOC,EX HIPODROMO DE PERALVILLO,False,,"https://www.google.com/maps?q=19.455,-99.138"
19.364,-99.191,23,ALVARO OBREGON,MERCED GOMEZ,False,,"https://www.google.com/maps?q=19.364,-99.191"
19.479,-99.098,23,GUSTAVO A MADERO,CONSTITUCION DE LA REP,False,,"https://www.google.com/maps?q=19.479,-99.098"
19.409,-99.098,23,IZTACALCO,GRANJAS MEXICO,False,,"https://www.google.com/maps?q=19.409,-99.098"
19.33,-99.137,23,COYOACAN,AVANTE,False,,"https://www.google.com/maps?q=19.33,-99.137"
19.396,-99.156,22,BENITO JUAREZ,NARVARTE PTE,False,,"https://www.google.com/maps?q=19.396,-99.156"
19.426,-99.154,21,CUAUHTEMOC,JUAREZ,False,,"https://www.google.com/maps?q=19.426,-99.154"
19.505,-99.151,21,GUSTAVO A MADERO,NUEVA INDUSTRIAL VALLEJO,False,,"https://www.google.com/maps?q=19.505,-99.151"
19.493,-99.146,21,GUSTAVO A MADERO,SAN BARTOLO ATEPEHUACAN,False,,"https://www.google.com/maps?q=19.493,-99.146"
19.42,-99.096,21,VENUSTIANO CARRANZA,INDUSTRIAL PUERTO AEREO,False,,"https://www.google.com/maps?q=19.42,-99.096"
19.363,-99.057,21,IZTAPALAPA,U H VICENTE GUERRERO,False,,"https://www.google.com/maps?q=19.363,-99.057"
19.338,-99.123,21,COYOACAN,SAN FCO CULHUACAN,False,,"https://www.google.com/maps?q=19.338,-99.123"
19.311,-99.124,20,COYOACAN,JARDINES DE COYOACAN,False,,"https://www.google.com/maps?q=19.311,-99.124"
19.446,-99.153,20,CUAUHTEMOC,BUENAVISTA,True,IPN Santo Tomas,"https://www.google.com/maps?q=19.446,-99.153"
19.444,-99.139,20,CUAUHTEMOC,GUERRERO,False,,"https://www.google.com/maps?q=19.444,-99.139"
19.32,-99.084,20,IZTAPALAPA,EL VERGEL,False,,"https://www.google.com/maps?q=19.32,-99.084"
19.423,-99.166,20,CUAUHTEMOC,JUAREZ,False,,"https://www.google.com/maps?q=19.423,-99.166"
19.305,-99.087,20,IZTAPALAPA,TRIANGULO DE LAS AGUJAS 1 Y 2,False,,"https://www.google.com/maps?q=19.305,-99.087"
19.339,-99.192,19,ALVARO OBREGON,SAN ANGEL,True,CU - UNAM,"https://www.google.com/maps?q=19.339,-99.192"
19.407,-99.145,19,CUAUHTEMOC,DOCTORES,False,,"https://www.google.com/maps?q=19.407,-99.145"
19.356,-99.199,19,ALVARO OBREGON,LOS ALPES,False,,"https://www.google.com/maps?q=19.356,-99.199"
19.351,-99.075,19,IZTAPALAPA,8A AMPL SAN MIGUEL,True,UAM Iztapalapa,"https://www.google.com/maps?q=19.351,-99.075"
19.357,-99.144,19,BENITO JUAREZ,ERMITA,False,,"https://www.google.com/maps?q=19.357,-99.144"
19.341,-99.137,19,COYOACAN,CAMPESTRE CHURUBUSCO,False,,"https://www.google.com/maps?q=19.341,-99.137"
