universidad_id,universidad_nombre,universidad_fecha_fundacion,universidad_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,universidad_calle_numero,universidad_colonia,universidad_cp,universidad_telfono1,universidad_pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
730,"Universidad Autónoma Metropolitana (UAM), Unidad Azcapotzalco","1974-11-11","Universidad Autónoma Metropolitana (UAM)",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. San Pablo 180","Col. Reynosa Tamaulipas","02200","","","rector@azc.uam.mx",-99.18702,19.50337,"http://sic.gob.mx/ficha.php?table=universidad&table_id=730","2021-12-09 13:12:18-06"
3590,"Escuela Superior de Ingeniería Mecánica y Eléctrica ESIME, Unidad Azcapotzalco","1987-10-27","Instituto Politécnico Nacional",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. de las Granjas 682 esq. Av. Azcapotzalco La Villa","Col. Santa Catarina","02550","","","",-99.18417,19.4841,"http://sic.gob.mx/ficha.php?table=universidad&table_id=3590","2025-08-13 18:33:25-06"
3572,"Centro de Investigación Tecnológica CIITEC, Unidad Azcapotzalco","2004-12-17","Instituto Politécnico Nacional",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Cda. de Cecati s/n","Col. Santa Catarina","02250","","","ciitec@ipn.mx",-99.18417,19.4841,"http://sic.gob.mx/ficha.php?table=universidad&table_id=3572","2025-10-17 19:28:01-06"
3882,"Universidad TecMilenio, campus Ferrería","2002-09-02","Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM)/Ensañanza e Investigación Superior, A.C.",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. Granjas 800 esq. eje 5 Nte. Montevideo","Col. Pueblo Santa Bárbara","02230","","","informes@tecmilenio.edu.mx ",-99.17555,19.49985,"http://sic.gob.mx/ficha.php?table=universidad&table_id=3882","2025-07-15 17:21:00-06"
257,"Instituto Panamericano de Alta Dirección de Empresa (IPADE)","1967-11-12","Universidad Panamericana (UP)",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Floresta 20","Col. Clavería","02080","","","",-99.18683,19.46419,"http://sic.gob.mx/ficha.php?table=universidad&table_id=257","2019-09-17 06:05:57-05"
1566,"Tecnológico Universitario de México","1978-05-22","",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. Azcapotzalco 308","Col. Ángel Zimbrón","02099","","","informes@tum.edu.mx ",-99.18754,19.47024,"http://sic.gob.mx/ficha.php?table=universidad&table_id=1566","2021-07-22 09:23:24-05"
3489,"Escuela Normal Superior de México","1936-10-01","Particular",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Manuel Salazar 201","Col. Hacienda del Rosario","02420","","","",-99.18417,19.4841,"http://sic.gob.mx/ficha.php?table=universidad&table_id=3489","2025-07-08 17:40:36-06"
3704,"Universidad Latinoamericana (ULA), Campus El Rosario","2013-01-01","Universidad Latinoamericana, S.C.",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. El Rosario 1025, local Y-01","Col. El Rosario","02100","","","",-99.18417,19.4841,"http://sic.gob.mx/ficha.php?table=universidad&table_id=3704","2025-10-10 19:22:23-06"
298,"Instituto de Formación Profesional de la PGJDF","1974-07-12","",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Cda. 4a. s/n esq. 5a. de  Av. Jardín","Col. Ampl. Cosmopolita","02920","","","ifp@pgj.cdmx.gob.mx",-99.15969,19.46995,"http://sic.gob.mx/ficha.php?table=universidad&table_id=298","2021-04-30 05:05:46-05"
1568,"Universidad Pedagógica Nacional (UPN) U-095","1978-01-01","Secretaría de Educación Pública",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Calz. Azcapotzalco La Villa 1011","Col. San Andrés de las Salinas","02320","","","use095@g.upn.mx",-99.15407,19.49084,"http://sic.gob.mx/ficha.php?table=universidad&table_id=1568","2025-11-19 19:02:19-06"
